# method=RADIAL_SYMMETRY
# roi=[31, 23, 48, 50]
# auto_polarity=True
# invert=True
# blur_sigma=1.2
# radial_grad_threshold=2.0
# annulus_enabled=True
# annulus_auto=True
# annulus_r_inner_px=0.0
# annulus_r_outer_px=0.0
# annulus_profile_smooth=3
# fps=485.201
# start_frame=0
# end_frame=200
# um_per_px=0.066528
# um_per_px_source=dataset_default
# postprocess_ot3_qc_enabled=True
# postprocess_ot3_q_min=0.0
# postprocess_ot3_jump_max_px=50.0
# postprocess_ot3_drift_enabled=True
# postprocess_ot3_drift_window_s=1.0
# postprocess_ot3_drift_window_frames=485
# postprocess_ot3_lost_frames=0
# postprocess_ot3_lost_fraction=0
frame,t_s,x_px,y_px,quality,peak,lost,lost_reason,x_corr_px,y_corr_px,x_corr_um,y_corr_um
112,0.230832171,49.078768,55.788223,0.159055,1.414214,0,,0.0023468756,0.13672568,0.00015613294,0.0090960861
113,0.232893172,49.105924,55.721360,0.157305,1.414214,0,,0.029502876,0.069862682,0.0019627673,0.0046478245
114,0.234954174,49.402702,55.706172,0.168463,0.500000,0,,0.32628088,0.054674682,0.021706814,0.0036373972
115,0.237015175,49.554041,55.589598,0.184549,0.707107,0,,0.47761988,-0.061899318,0.031775095,-0.0041180379
116,0.239076177,48.899130,55.268082,0.151716,1.414214,0,,-0.17729112,-0.38341532,-0.011794824,-0.025507854
117,0.241137178,49.361823,55.031110,0.155995,0.000000,0,,0.28540188,-0.62038732,0.018987216,-0.041273128
118,0.243198180,49.051555,55.210199,0.171855,1.118034,0,,-0.024866124,-0.44129832,-0.0016542935,-0.029358695
119,0.245259181,48.623851,55.826158,0.134837,1.000000,0,,-0.45257012,0.17466068,-0.030108585,0.011619826
120,0.247320183,49.069154,55.660044,0.151812,0.000000,0,,-0.0072671244,0.0085466816,-0.00048346725,0.00056859363
121,0.249381184,49.048834,55.272402,0.162744,0.500000,0,,-0.027587124,-0.37909532,-0.0018353162,-0.025220453
122,0.251442186,49.051119,55.726553,0.146283,1.118034,0,,-0.025302124,0.075055682,-0.0016832997,0.0049933044
123,0.253503187,48.981886,55.776390,0.162104,0.707107,0,,-0.094535124,0.12489268,-0.0062892328,0.0083088603
124,0.255564189,49.259802,55.526866,0.165642,0.707107,0,,0.18338088,-0.12463132,0.012199963,-0.0082914724
125,0.257625190,48.659482,55.851091,0.129045,1.000000,0,,-0.41693912,0.19959368,-0.027738126,0.013278568
126,0.259686192,48.657203,55.647646,0.140396,1.000000,0,,-0.41921812,-0.0038513184,-0.027889743,-0.00025622051
127,0.261747193,48.542092,55.579424,0.169441,0.707107,0,,-0.53432912,-0.072073318,-0.035547848,-0.0047948937
128,0.263808195,48.561984,55.918028,0.146513,1.118034,0,,-0.51443712,0.26653068,-0.034224473,0.017731753
129,0.265869196,48.644683,56.020090,0.139048,1.118034,0,,-0.43173812,0.36859268,-0.028722674,0.024521734
130,0.267930198,48.775139,56.145124,0.139336,0.500000,0,,-0.30128212,0.49362668,-0.020043697,0.032839996
131,0.269991200,48.709882,55.794669,0.155482,0.707107,0,,-0.36653912,0.14317168,-0.024385115,0.0095249256
132,0.272052201,48.968259,55.796568,0.159948,1.000000,0,,-0.10816212,0.14507068,-0.0071958098,0.0096512623
133,0.274113203,49.110681,55.604045,0.169699,0.707107,0,,0.034259876,-0.047452318,0.002279241,-0.0031569078
134,0.276174204,49.108247,55.565752,0.156064,1.000000,0,,0.031825876,-0.085745318,0.0021173119,-0.0057044645
135,0.278235206,49.095601,55.597492,0.159371,0.500000,0,,0.019179876,-0.054005318,0.0012759988,-0.0035928658
136,0.280296207,49.087950,55.892943,0.149241,0.707107,0,,0.011528876,0.24144568,0.00076699304,0.016062898
137,0.282357209,48.923069,55.444217,0.143160,0.707107,0,,-0.15335212,-0.20728032,-0.01020221,-0.013789945
138,0.284418210,49.311306,55.583474,0.162201,0.707107,0,,0.23488488,-0.068023318,0.015626421,-0.0045254553
139,0.286479212,49.101756,55.902455,0.136921,0.707107,0,,0.025334876,0.25095768,0.0016854786,0.016695713
140,0.288540213,49.439763,55.551304,0.148946,0.000000,0,,0.36334188,-0.10019332,0.024172408,-0.0066656611
141,0.290601215,49.599927,55.323443,0.151763,1.802776,0,,0.52350588,-0.32805432,0.034827799,-0.021824798
